Product,PK
DZ ROSE VASE,5
VASE ENHANCED DZ. RED ROSE,5
BHAUS RED CLASSIC BQT RFD,9
MASONETTES BOUQUET.,9
BLOOM HAUS 18 PLUS BOUQUET,4
BLOOM HAUS CLASSIC BOUQUET,9
BHAUS ARGT PLAY HAUS,4
BHAUS ARGT FUN HAUS,5
BHAUS ARGT OUR HAUS,2
BHAUS ARGT LUXE HAUS,2
Dozen FREEDOM,10
Dozen Rose CB Red and Color,10
Dozen WHITE Combo,10
Dozen MIXED COLORS Combo,10
BLOOM HAUS 12 PLUS BOUQUET,10
BLOOM HAUS 30 PLUS BOUQUET,3
RAINBOW,10
BHAUS BQT ALEGRIA EARLY FALL,6
CLASSIC VASE WET,10
SWEET PINK BOUQUET,13
BHAUS ROSES SPRAY,18
BHAUS BQT ALEGRIA LATE FALL,6
BHAUS RED 30 PLUS BQT RFD,3
BHAUS RED 18 PLUS BQT RFD,4
BUBBLY ROSE,12
